pos_ref,pos,eg_rpm,gb_rpm
216,224,0,0
215,223,0,0
214,222,0,0
213,221,0,0
212,220,0,0
211,219,0,0
210,218,0,0
209,217,0,0
208,216,0,0
207,215,0,0
206,214,0,0
205,213,0,0
204,212,0,0
203,211,0,0
202,209,0,0
201,208,0,0
200,207,0,0
199,207,0,0
198,206,0,0
197,205,0,0
196,204,0,0
195,203,0,0
194,202,0,0
193,201,0,0
192,200,0,0
191,199,0,0
190,198,0,0
189,197,0,0
188,196,0,0
187,195,0,0
186,194,0,0
185,193,0,0
184,192,0,0
183,191,0,0
182,190,0,0
181,189,0,0
180,188,0,0
179,187,0,0
178,186,0,0
177,185,0,0
176,184,0,0
175,183,0,0
174,182,0,0
173,181,0,0
172,181,0,0
171,180,0,0
170,179,0,0
169,178,0,0
168,177,0,0
168,176,0,0
169,175,0,0
170,173,0,0
171,173,0,0
172,172,0,0
173,171,0,0
174,171,0,0
175,171,0,0
176,171,0,0
177,171,0,0
178,172,0,0
179,172,0,0
180,173,0,0
181,173,0,0
182,174,0,0
183,175,0,0
184,176,0,0
185,176,0,0
186,177,0,0
187,178,0,0
188,179,0,0
189,180,0,0
190,181,0,0
191,182,0,0
192,183,0,0
193,184,0,0
194,185,0,0
195,186,0,0
196,187,0,0
197,188,0,0
198,189,0,0
199,190,0,0
200,191,0,0
201,192,0,0
202,193,0,0
203,194,0,0
204,195,0,0
205,196,0,0
206,197,0,0
207,198,0,0
208,199,0,0
209,200,0,0
210,201,0,0
211,202,0,0
212,203,0,0
213,204,0,0
214,205,0,0
215,206,0,0
216,207,0,0
217,208,0,0
218,209,0,0
219,210,0,0
220,211,0,0
221,212,0,0
222,213,0,0
223,214,0,0
224,215,0,0
225,216,0,0
226,217,0,0
227,218,0,0
228,219,0,0
229,221,0,0
230,222,0,0
231,223,0,0
232,224,0,0
233,224,0,0
234,225,0,0
235,226,0,0
236,227,0,0
237,228,0,0
238,229,0,0
239,230,0,0
240,231,0,0
241,232,0,0
242,233,0,0
242,235,0,0
241,236,0,0
240,237,0,0
239,237,0,0
238,238,0,0
237,239,0,0
236,239,0,0
235,239,0,0
234,239,0,0
233,239,0,0
232,238,0,0
231,238,0,0
230,237,0,0
229,236,0,0
228,235,0,0
227,234,0,0
226,234,0,0
225,233,0,0
224,232,0,0
223,231,0,0
222,230,0,0
221,229,0,0
220,228,0,0
219,227,0,0
218,226,0,0
217,225,0,0
216,224,0,0
215,223,0,0
214,222,0,0
213,221,0,0
212,220,0,0
211,219,0,0
210,218,0,0
209,217,0,0
208,216,0,0
207,215,0,0
206,214,0,0
205,213,0,0
204,211,0,0
203,210,0,0
202,209,0,0
201,209,0,0
200,208,0,0
199,207,0,0
198,206,0,0
197,205,0,0
196,204,0,0
195,203,0,0
194,202,0,0
193,201,0,0
192,200,0,0
191,199,0,0
190,198,0,0
189,197,0,0
188,196,0,0
187,195,0,0
186,194,0,0
185,193,0,0
184,192,0,0
183,191,0,0
182,190,0,0
181,189,0,0
180,188,0,0
179,187,0,0
178,186,0,0
177,185,0,0
176,184,0,0
175,184,0,0
174,182,0,0
173,181,0,0
172,180,0,0
171,179,0,0
170,179,0,0
169,178,0,0
168,177,0,0
168,176,0,0
169,175,0,0
170,173,0,0
171,172,0,0
172,172,0,0
173,171,0,0
174,171,0,0
175,171,0,0
176,171,0,0
177,171,0,0
178,172,0,0
179,172,0,0
180,173,0,0
181,174,0,0
182,174,0,0
183,175,0,0
184,176,0,0
185,177,0,0
186,177,0,0
187,178,0,0
188,179,0,0
189,180,0,0
190,181,0,0
191,182,0,0
192,183,0,0
193,184,0,0
194,185,0,0
195,186,0,0
196,187,0,0
197,188,0,0
198,189,0,0
199,190,0,0
200,191,0,0
201,192,0,0
202,193,0,0
203,194,0,0
204,195,0,0
205,196,0,0
206,197,0,0
207,198,0,0
208,199,0,0
209,200,0,0
210,201,0,0
211,202,0,0
212,202,0,0
213,204,0,0
214,205,0,0
215,206,0,0
216,207,0,0
217,208,0,0
218,209,0,0
219,210,0,0
220,211,0,0
221,212,0,0
222,213,0,0
223,213,0,0
224,215,0,0
225,216,0,0
226,217,0,0
227,218,0,0
228,219,0,0
229,220,0,0
230,221,0,0
231,222,0,0
232,223,0,0
233,224,0,0
234,226,0,0
235,226,0,0
236,227,0,0
237,228,0,0
238,229,0,0
239,230,0,0
240,231,0,0
241,233,0,0
242,234,0,0
242,235,0,0
241,236,0,0
240,237,0,0
239,237,0,0
238,238,0,0
237,239,0,0
236,239,0,0
235,239,0,0
234,239,0,0
233,239,0,0
232,238,0,0
231,237,0,0
230,237,0,0
229,236,0,0
228,235,0,0
227,234,0,0
226,233,0,0
225,233,0,0
224,232,0,0
223,231,0,0
222,230,0,0
221,229,0,0
220,228,0,0
219,227,0,0
218,226,0,0
217,225,0,0
216,224,0,0
215,223,0,0
214,222,0,0
213,221,0,0
212,220,0,0
211,219,0,0
210,218,0,0
209,217,0,0
208,216,0,0
207,215,0,0
206,214,0,0
205,213,0,0
204,212,0,0
203,211,0,0
202,209,0,0
201,208,0,0
200,208,0,0
199,207,0,0
198,206,0,0
197,205,0,0
196,204,0,0
195,203,0,0
194,202,0,0
193,201,0,0
192,200,0,0
191,199,0,0
190,198,0,0
189,197,0,0
188,196,0,0
187,195,0,0
186,194,0,0
185,193,0,0
184,192,0,0
183,191,0,0
182,190,0,0
181,189,0,0
180,188,0,0
179,187,0,0
178,186,0,0
177,185,0,0
176,184,0,0
175,183,0,0
174,182,0,0
173,181,0,0
172,181,0,0
171,180,0,0
